Date,Industrial production,CFNAI Index,Manufacturing ISM,Manufacturing ISM - Price Paid,Service ISM,Service ISM - Price Paid,US Retail Sales
1989-12-31,62.0428,-0.01,47.4,47.4,,,
1990-01-31,61.729,-0.23,47.2,47.2,,,
1990-02-28,62.2896,0.55,49.1,49.1,,,
1990-03-31,62.5999,0.17,49.9,49.9,,,
1990-04-30,62.4359,-0.71,50.0,50.0,,,
1990-05-31,62.6258,0.02,49.5,49.5,,,
1990-06-30,62.8382,-0.04,49.2,49.2,,,
1990-07-31,62.7284,-0.58,46.6,46.6,,,
1990-08-31,62.9475,-0.22,46.1,46.1,,,
1990-09-30,62.9523,-0.8,44.5,44.5,,,
1990-10-31,62.5845,-0.92,43.2,43.2,,,
1990-11-30,61.7887,-1.4,41.3,41.3,,,
1990-12-31,61.3352,-0.95,40.8,40.8,,,
1991-01-31,61.1355,-1.09,39.2,39.2,,,
1991-02-28,60.6838,-0.86,39.4,39.4,,,
1991-03-31,60.3346,-0.9,40.7,40.7,,,
1991-04-30,60.4938,0.02,42.8,42.8,,,
1991-05-31,61.0633,-0.04,44.5,44.5,,,
1991-06-30,61.5581,0.03,50.3,50.3,,,
1991-07-31,61.7305,0.15,50.6,50.6,,,
1991-08-31,61.7298,-0.34,52.9,52.9,,,
1991-09-30,62.2195,0.26,54.9,54.9,,,
1991-10-31,62.1855,-0.36,53.1,53.1,,,
1991-11-30,62.0871,-0.39,49.5,49.5,,,
1991-12-31,61.7852,-0.81,46.8,46.8,,,
1992-01-31,61.4616,-0.07,47.3,47.3,,,
1992-02-29,61.8955,0.1,52.7,52.7,,,
1992-03-31,62.4232,0.44,54.6,54.6,,,
1992-04-30,62.897,0.23,52.6,52.6,,,
1992-05-31,63.104,-0.06,55.7,55.7,,,
1992-06-30,63.1363,0.05,53.6,53.6,,,
1992-07-31,63.7176,0.42,53.9,53.9,,,
1992-08-31,63.3613,-0.61,53.4,53.4,,,
1992-09-30,63.5703,0.09,49.7,49.7,,,
1992-10-31,63.9995,0.2,50.3,50.3,,,
1992-11-30,64.2422,0.1,53.6,53.6,,,
1992-12-31,64.3507,0.45,54.2,54.2,,,
1993-01-31,64.5978,0.21,55.8,55.8,,,
1993-02-28,64.9089,0.16,55.2,55.2,,,
1993-03-31,64.8522,-0.46,53.5,53.5,,,
1993-04-30,65.0301,0.26,50.2,50.2,,,
1993-05-31,64.784,-0.12,51.2,51.2,,,
1993-06-30,64.9301,0.04,49.6,49.6,,,
1993-07-31,65.1052,-0.01,50.2,50.2,,,
1993-08-31,65.0267,-0.03,50.7,50.7,,,
1993-09-30,65.3717,0.4,50.8,50.8,,,
